Title: Income Tax Act – Workgroup Cross-Reference Chart
Source: https://www.canada.ca/en/revenue-agency/services/forms-publications/publications/itnews-29/archived-income-tax-act-workgroup-cross-reference-chart-8.html
Corpus path: corpus/cra/tax/technical-information/income-tax/current-publications/technical-news/publications/itnews-29/archived-income-tax-act-workgroup-cross-reference-chart-8.md
Document type: technical_publication
Last modified: 2019-10-08

# Income Tax Act – Workgroup Cross-Reference Chart

## We have archived this page and will not be updating it.

You can use it for research or reference.

## We have archived this page and will not be updating it.

You can use it for research or reference.

[What the "Archived Content" notice means for income tax technical news](https://www.canada.ca/en/revenue-agency/services/tax/technical-information/income-tax/what-archived-content-notice-means-income-tax-technical-news.html)

This document is also available [in other formats](https://www.canada.ca/en/revenue-agency/services/forms-publications/publications/itnews-29.html).

## Table 9

| *Income Tax Act* Reference | English Workgroup Number | Bilingual Workgroup Number |

| --- | --- | --- |

| 80 | 42 | 44 |

| 80(1) | 42 | 44 |

| 80(2) | 42 | 44 |

| 80(3) | 42 | 44 |

| 80(4) | 42 | 44 |

| 80(5) | 42 | 44 |

| 80(6) | 42 | 44 |

| 80(7) | 42 | 44 |

| 80(8) | 13 | 14 |

| 80(9) | 42 | 44 |

| 80(10) | 42 | 44 |

| 80(11) | 42 | 44 |

| 80(12) | 42 | 44 |

| 80(13) | 42 | 44 |

| 80(14) | 42 | 44 |

| 80(14.1) | 42 | 44 |

| 80(15) | 23 | 22 |

| 80(16) | 42 | 44 |

| 80(18) | 23 | 22 |

| 80.01 | 42 | 44 |

| 80.01(1) | 42 | 44 |

| 80.01(2) | 42 | 44 |

| 80.01(3) | 42 | 44 |

| 80.01(4) | 42 | 44 |

| 80.01(5) | 42 | 44 |

| 80.01(6) | 42 | 44 |

| 80.01(7) | 42 | 44 |

| 80.01(8) | 42 | 44 |

| 80.01(9) | 42 | 44 |

| 80.01(10) | 42 | 44 |

| 80.01(11) | 31 | 32 |

| 80.02 | 42 | 44 |

| 80.02(1) | 42 | 44 |

| 80.02(2) | 42 | 44 |

| 80.02(3) | 42 | 44 |

| 80.02(4) | 42 | 44 |

| 80.02(5) | 42 | 44 |

| 80.02(6) | 42 | 44 |

| 80.02(7) | 42 | 44 |

| 80.03 | 42 | 44 |

| 80.03(1) | 42 | 44 |

| 80.03(2) | 42 | 44 |

| 80.03(3) | 42 | 44 |

| 80.03(7) | 42 | 44 |

| 80.03(8) | 42 | 44 |

| 80.04 | 42 | 44 |

| 80.04(1) | 42 | 44 |

| 80.04(2) | 42 | 44 |

| 80.04(3) | 42 | 44 |

| 80.04(4) | 42 | 44 |

| 80.04(5) | 42 | 44 |

| 80.04(5.1) | 42 | 44 |

| 80.04(6) | 42 | 44 |

| 80.04(7) | 42 | 44 |

| 80.04(8) | 42 | 44 |

| 80.04(9) | 42 | 44 |

| 80.04(10) | 42 | 44 |

| 80.04(11) | 42 | 44 |

| 80.04(12) | 42 | 44 |

| 80.04(13) | 42 | 44 |

| 80.04(14) | 42 | 44 |

| 80.1(1) | 33 | 32 |

| 80.1(2) | 33 | 32 |

